tempo_alvo,alpha,seed,iterações_parciais,iterações_grasp,tempo_execução,valor_inicial,valor
5,0.05,1,9450025,4,5.000121024,1930500,199700
5,0.05,2,9450025,4,4.829211071,1699300,199700
5,0.05,3,9450025,4,4.700548774,2062100,199700
5,0.05,4,9450025,4,4.913742304,1802300,199700
5,0.05,5,9450025,4,4.886078205,1731500,199700
5,0.2,1,9450025,4,4.60853907,5768900,199700
5,0.2,2,9450025,4,4.669652446,5525900,199700
5,0.2,3,9450025,4,4.841008173,5700900,199700
5,0.2,4,9450025,4,4.974413007,5803700,199700
5,0.2,5,9450025,4,4.906912966,5644100,199700
300,0.05,1,533237381,203,300.000089347,1930500,199700
300,0.05,2,533237381,201,285.95478249,1699300,199700
300,0.05,3,533237381,197,285.859949687,2062100,199700
300,0.05,4,533237381,200,286.467021619,1802300,199700
300,0.05,5,533237381,200,287.405589128,1731500,199700
300,0.2,1,533237381,193,283.398908169,5768900,199700
300,0.2,2,533237381,192,283.686723569,5525900,199700
300,0.2,3,533237381,194,281.52120383,5700900,199700
300,0.2,4,533237381,193,276.676968384,5803700,199700
300,0.2,5,533237381,195,280.768503727,5644100,199700
