tempo_alvo,alpha,seed,iterações_parciais,iterações_grasp,tempo_execução,valor_inicial,valor
5,0.05,1,87876961,5212,5.000106418,39300,19700
5,0.05,2,87876961,5212,3.21577992,32500,19700
5,0.05,3,87876961,5219,3.20372013,36500,19700
5,0.05,4,87876961,5187,3.219555172,37300,19700
5,0.05,5,87876961,5195,3.229007182,36500,19700
5,0.2,1,87876961,4635,3.355890612,74900,19700
5,0.2,2,87876961,4649,3.36011138,73700,19700
5,0.2,3,87876961,4666,3.364724383,75500,19700
5,0.2,4,87876961,4662,3.351156448,82300,19700
5,0.2,5,87876961,4646,3.353399411,82900,19700
300,0.05,1,5286109435,313302,300.000053924,39300,19700
300,0.05,2,5286109435,313271,193.533046309,32500,19700
300,0.05,3,5286109435,313103,193.562042283,36500,19700
300,0.05,4,5286109435,313037,193.776239659,37300,19700
300,0.05,5,5286109435,313176,207.987800124,36500,19700
300,0.2,1,5286109435,279595,220.591351229,74900,19700
300,0.2,2,5286109435,279420,221.39810484,73700,19700
300,0.2,3,5286109435,279404,223.889817833,75500,19700
300,0.2,4,5286109435,279386,219.67050359,82300,19700
300,0.2,5,5286109435,279419,223.511476734,82900,19700
