tempo_alvo,alpha,seed,iterações_parciais,iterações_grasp,tempo_execução,valor_inicial,valor
5,0.05,1,48752179,228883,5.000032939,16727,16727
5,0.05,2,48752079,228883,3.977523786,16727,16727
5,0.05,3,48752079,228883,3.963022075,16727,16727
5,0.05,4,48752079,228883,3.951094629,16727,16727
5,0.05,5,48752079,228883,3.916831321,16727,16727
5,0.2,1,48752079,228883,3.937021989,16727,16727
5,0.2,2,48752079,228883,3.944070798,16727,16727
5,0.2,3,48752079,228883,3.935332439,16727,16727
5,0.2,4,48752079,228883,3.988948849,16727,16727
5,0.2,5,48752079,228883,3.989622535,16727,16727
300,0.05,1,2889054568,13563636,300.000030278,16727,16727
300,0.05,2,2889054468,13563636,234.688893591,16727,16727
300,0.05,3,2889054468,13563636,235.826859513,16727,16727
300,0.05,4,2889054468,13563636,227.833275046,16727,16727
300,0.05,5,2889054468,13563636,228.787784258,16727,16727
300,0.2,1,2889054468,13563636,230.371434452,16727,16727
300,0.2,2,2889054468,13563636,233.798328874,16727,16727
300,0.2,3,2889054468,13563636,234.454385458,16727,16727
300,0.2,4,2889054468,13563636,232.713591194,16727,16727
300,0.2,5,2889054468,13563636,235.188937826,16727,16727
