tempo_alvo,alpha,seed,iterações_parciais,iterações_grasp,tempo_execução,valor_inicial,valor
5,0.05,1,28156913,452,5.000469084,1623900,759500
5,0.05,2,28156913,447,4.02204182,1688100,761300
5,0.05,3,28156913,446,4.015743504,1724300,749100
5,0.05,4,28156913,446,4.070956632,1587500,737700
5,0.05,5,28156913,448,3.983502588,1604300,745300
5,0.2,1,28156913,185,3.200020158,5673500,1585300
5,0.2,2,28156913,182,3.085054108,5498100,1627700
5,0.2,3,28156913,190,3.23727487,5586700,1638700
5,0.2,4,28156913,185,3.179715726,5522700,1661100
5,0.2,5,28156913,185,3.118800055,5653700,1567700
300,0.05,1,1724807505,27431,300.000049494,1623900,675900
300,0.05,2,1724807505,27465,246.584456301,1688100,713500
300,0.05,3,1724807505,27433,233.886834147,1724300,686300
300,0.05,4,1724807505,27405,237.911877493,1587500,705700
300,0.05,5,1724807505,27392,240.762954696,1604300,688300
300,0.2,1,1724807505,11227,188.915659301,5673500,1466100
300,0.2,2,1724807505,11216,181.748250247,5498100,1372900
300,0.2,3,1724807505,11283,188.608582273,5586700,1500300
300,0.2,4,1724807505,11203,187.755146784,5522700,1409700
300,0.2,5,1724807505,11205,186.022796688,5653700,1521700
