tempo_alvo,alpha,seed,iterações_parciais,iterações_grasp,tempo_execução,valor_inicial,valor
5,0.05,1,53709790,2461,5.000052792,4325021,3060987
5,0.05,2,53709790,2471,3.728864946,4841738,3012716
5,0.05,3,53709790,2482,3.745538611,4577372,3101378
5,0.05,4,53709790,2500,3.758547162,4411570,2972327
5,0.05,5,53709790,2468,3.727569338,4430091,3094719
5,0.2,1,53709790,1853,4.133012116,6878083,4269371
5,0.2,2,53709790,1865,4.135680047,6666045,4263158
5,0.2,3,53709790,1857,4.142872722,7340635,4058571
5,0.2,4,53709790,1855,4.087881009,7038599,4103989
5,0.2,5,53709790,1863,4.159038739,7467613,4298362
300,0.05,1,3244323062,149626,300.000078717,4325021,2893953
300,0.05,2,3244323062,149481,222.231755633,4841738,2838060
300,0.05,3,3244323062,149466,221.882002679,4577372,2817894
300,0.05,4,3244323062,149390,222.787780773,4411570,2854909
300,0.05,5,3244323062,149621,223.596967548,4430091,2888721
300,0.2,1,3244323062,111947,245.32031705,6878083,3952812
300,0.2,2,3244323062,112020,245.04230998,6666045,3963267
300,0.2,3,3244323062,111889,244.781784482,7340635,3867253
300,0.2,4,3244323062,112088,245.495060393,7038599,3804976
300,0.2,5,3244323062,112123,245.670607059,7467613,4004806
