tempo_alvo,alpha,seed,iterações_parciais,iterações_grasp,tempo_execução,valor_inicial,valor
5,0.05,1,76640234,538116,5.000026276,557952,442418
5,0.05,2,76640234,538219,3.290159697,557952,442418
5,0.05,3,76640234,538122,3.331518855,557952,442418
5,0.05,4,76640229,538047,3.210457957,447205,442418
5,0.05,5,76640226,537981,3.192891546,521881,442418
5,0.2,1,76640234,385529,3.177780155,619821,441111
5,0.2,2,76640234,385411,3.299277552,490765,441111
5,0.2,3,76640234,385543,3.308229029,584366,441111
5,0.2,4,76640234,385710,3.187559572,563377,441111
5,0.2,5,76640234,385678,3.223618951,523632,441111
300,0.05,1,5076272158,35638477,300.000031524,557952,442418
300,0.05,2,5076272147,35636252,198.809212254,557952,442418
300,0.05,3,5076272158,35637848,195.738278897,557952,442418
300,0.05,4,5076272158,35636188,195.999157879,447205,442418
300,0.05,5,5076272158,35635530,195.69552915,521881,442418
300,0.2,1,5076272158,25538129,195.772789336,619821,441111
300,0.2,2,5076272158,25536535,201.137177939,490765,441111
300,0.2,3,5076272158,25534879,197.357430096,584366,441111
300,0.2,4,5076272158,25537678,195.16607481,563377,441111
300,0.2,5,5076272158,25539807,193.708822016,523632,441111
