tempo_alvo,alpha,seed,iterações_parciais,iterações_grasp,tempo_execução,valor_inicial,valor
5,0.05,1,73484463,31730,5.000027114,1668462,846110
5,0.05,2,73484463,31742,3.406490754,1250364,858262
5,0.05,3,73484463,31665,3.389771286,1405955,862156
5,0.05,4,73484463,31717,3.391756223,1158716,866301
5,0.05,5,73484463,31649,3.436081042,1382973,844129
5,0.2,1,73484463,25336,3.523419182,2036844,1107768
5,0.2,2,73484463,25457,3.539253743,1958100,1096738
5,0.2,3,73484429,25451,3.611710862,1759101,1083497
5,0.2,4,73484463,25453,3.547883213,2149227,1082601
5,0.2,5,73484463,25361,3.574251405,1996523,1090437
300,0.05,1,4487831172,1936092,300.000026067,1668462,827798
300,0.05,2,4487831161,1935640,208.948944673,1250364,822142
300,0.05,3,4487831172,1935852,203.794960168,1405955,822441
300,0.05,4,4487831172,1935241,208.769359102,1158716,832210
300,0.05,5,4487831160,1935233,209.963227532,1382973,822979
300,0.2,1,4487831172,1552871,220.262220532,2036844,999438
300,0.2,2,4487831172,1552555,218.940004564,1958100,1001181
300,0.2,3,4487831169,1552765,220.433178687,1759101,968889
300,0.2,4,4487831172,1552867,219.631326054,2149227,1020745
300,0.2,5,4487831161,1552626,217.588177112,1996523,978293
