tempo_alvo,alpha,seed,iterações_parciais,iterações_grasp,tempo_execução,valor_inicial,valor
5,0.05,1,62353555,1154695,5.000019362,3579,3579
5,0.05,2,62353530,1154695,3.745432518,3579,3579
5,0.05,3,62353530,1154695,3.804561698,3579,3579
5,0.05,4,62353530,1154695,3.783610131,3579,3579
5,0.05,5,62353530,1154695,3.951550791,3579,3579
5,0.2,1,62353530,1154695,3.759685671,3579,3579
5,0.2,2,62353530,1154695,3.73755576,3579,3579
5,0.2,3,62353530,1154695,3.868426618,3579,3579
5,0.2,4,62353530,1154695,3.881799861,3579,3579
5,0.2,5,62353530,1154695,3.849794945,3579,3579
300,0.05,1,3784333417,70080248,300.000022637,3579,3579
300,0.05,2,3784333392,70080248,229.593749336,3579,3579
300,0.05,3,3784333392,70080248,230.02735341,3579,3579
300,0.05,4,3784333392,70080248,229.213335636,3579,3579
300,0.05,5,3784333392,70080248,226.659959202,3579,3579
300,0.2,1,3784333392,70080248,228.023715524,3579,3579
300,0.2,2,3784333392,70080248,227.790517555,3579,3579
300,0.2,3,3784333392,70080248,227.126046076,3579,3579
300,0.2,4,3784333392,70080248,227.496784033,3579,3579
300,0.2,5,3784333392,70080248,226.965624153,3579,3579
