tempo_alvo,alpha,seed,iterações_parciais,iterações_grasp,tempo_execução,valor_inicial,valor
5,0.05,1,71581286,90980,5.000023488,35900,13100
5,0.05,2,71581216,90788,3.566002218,25100,9900
5,0.05,3,71581286,90918,3.591844173,30500,13300
5,0.05,4,71581286,90839,3.562495691,25700,15100
5,0.05,5,71581286,90791,3.660168329,33900,12700
5,0.2,1,71581286,36990,3.146530174,76700,24100
5,0.2,2,71581286,36914,3.224308549,67900,24900
5,0.2,3,71581286,36824,3.204069931,70100,26700
5,0.2,4,71581286,36935,3.199123352,68900,25700
5,0.2,5,71581286,36913,3.209019539,67700,24500
300,0.05,1,4219156580,5357514,300.000021438,35900,9900
300,0.05,2,4219156567,5355701,213.577194462,25100,9900
300,0.05,3,4219156580,5356436,215.147135535,30500,9900
300,0.05,4,4219156580,5355552,202.492112773,25700,9900
300,0.05,5,4219156580,5356259,200.674970725,33900,9900
300,0.2,1,4219156580,2177164,173.850134704,76700,17700
300,0.2,2,4219156580,2176723,173.758659862,67900,18500
300,0.2,3,4219156580,2177128,173.810840576,70100,17700
300,0.2,4,4219156580,2176417,173.497613506,68900,18300
300,0.2,5,4219156580,2176419,173.357645651,67700,14900
