"seed","tempo_execução","iterações","valor","limite_superior"
"1","300.88","330230","-","inf"
"2","300.12","329449","-","inf"
"3","300.02","260847","-","inf"
"4","300.77","273333","-","inf"
"5","300.02","289971","-","inf"
"6","300.02","283015","34300","34300"
"7","300.01","271823","-","inf"
"8","300.06","335540","-","inf"
"9","300.07","259251","-","inf"
"10","300.01","277475","-","inf"
