"seed","tempo_alvo","tempo_execução","iterações_LP","valor"
"1","300","1.75","316","9900"
"2","300","1.79","313","9900"
"3","300","1.77","318","9900"
"4","300","1.75","315","9900"
"5","300","1.72","319","9900"
"6","300","1.73","318","9900"
"7","300","2.15","292","9900"
"8","300","1.74","308","9900"
"9","300","1.85","313","9900"
"10","300","1.82","302","9900"
