"seed","tempo_alvo","tempo_execução","iterações_LP","valor"
"1","300","221.82","260306","13221"
"2","300","245.07","321828","13221"
"3","300","223.4","292457","13221"
"4","300","300.98","437629","inf"
"5","300","280.04","370805","13221"
"6","300","237.42","321704","13221"
"7","300","5.06","1738","13221"
"8","300","171.59","267049","13221"
"9","300","251.11","340184","13221"
"10","300","300.03","387237","inf"
