"seed","tempo_alvo","tempo_execução","iterações_LP","valor"
"1","300","331.18","3769","inf"
"2","300","305.37","3721","inf"
"3","300","302.42","3924","inf"
"4","300","301.15","3705","inf"
"5","300","300.94","4383","inf"
"6","300","306.20","3767","inf"
"7","300","310.97","4283","inf"
"8","300","304.71","4179","inf"
"9","300","313.43","3808","inf"
"10","300","319.46","3900","inf"
