"seed","tempo_alvo","tempo_execução","iterações_LP","valor"
"1","300","300.03","319074","inf"
"2","300","300.03","304325","inf"
"3","300","300.12","199831","inf"
"4","300","300.04","230904","inf"
"5","300","300.12","249654","inf"
"6","300","302.74","256525","inf"
"7","300","300.02","240068","inf"
"8","300","300.01","302298","inf"
"9","300","300.02","301967","inf"
"10","300","301.52","279930","inf"
