"seed","tempo_alvo","tempo_execução","iterações_LP","valor"
"1","300","-","-","inf"
"2","300","-","-","inf"
"3","300","-","-","inf"
"4","300","-","-","inf"
"5","300","-","-","inf"
"6","300","-","-","inf"
"7","300","-","-","inf"
"8","300","-","-","inf"
"9","300","-","-","inf"
"10","300","-","-","inf"
