"seed","tempo_alvo","tempo_execução","iterações_LP","valor"
"1","300","19.45","1154","1.189843e6"
"2","300","19.77","1203","1.189843e6"
"3","300","19.13","1140","1.189843e6"
"4","300","19.23","1224","1.189843e6"
"5","300","19.21","1177","1.189843e6"
"6","300","18.60","1111","1.189843e6"
"7","300","18.44","1161","1.189843e6"
"8","300","18.40","1155","1.189843e6"
"9","300","18.61","1164","1.189843e6"
"10","300","18.84","1187","1.189843e6"
