"seed","tempo_alvo","tempo_execução","iterações_LP","valor"
"1","300","4.73","103","9900"
"2","300","2.07","103","9900"
"3","300","1.91","103","9900"
"4","300","1.91","97","9900"
"5","300","1.86","91","9900"
"6","300","1.84","104","9900"
"7","300","2.10","104","9900"
"8","300","1.88","99","9900"
"9","300","2.09","99","9900"
"10","300","1.86","94","9900"
