"seed","tempo_alvo","tempo_execução","iterações_LP","valor"
"1","300","1.99","350","10100"
"2","300","1.93","361","10100"
"3","300","1.81","342","10100"
"4","300","1.76","365","10100"
"5","300","1.77","308","10100"
"6","300","1.75","240","10100"
"7","300","1.75","309","10100"
"8","300","1.78","333","10100"
"9","300","1.74","260","10100"
"10","300","1.75","350","10100"
