"seed","tempo_alvo","tempo_execução","iterações_LP","valor"
"1","300","0.08","54","348084"
"2","300","0.09","55","348084"
"3","300","0.09","52","348084"
"4","300","0.10","56","348084"
"5","300","0.10","57","348084"
"6","300","0.09","56","348084"
"7","300","0.09","55","348084"
"8","300","0.10","57","348084"
"9","300","0.10","51","348084"
"10","300","0.11","57","348084"
