"seed","tempo_execução","iterações","valor","limite_superior"
"1","300.29","10973","-","inf"
"2","300.33","21520","-","inf"
"3","300.33","16105","-","inf"
"4","300.24","40849","-","inf"
"5","300.23","30486","-","inf"
"6","300.30","19169","-","inf"
"7","300.39","14506","-","inf"
"8","300.34","18007","-","inf"
"9","300.73","24349","-","inf"
"10","300.40","43569","-","inf"
