seed,tempo_execução,iterações,valor,limite_superior
1,0.64,862,3056,-
2,1.17,4039,3056,-
3,4.63,24005,3056,-
4,0.20,521,3056,-
5,0.34,440,3056,-
6,0.22,526,3056,-
7,0.54,899,3056,-
8,0.55,953,3056,-
9,0.45,851,3056,-
10,0.29,656,3056,-
