"seed","tempo_execução","iterações","valor","limite_superior"
"1","-","-","-","inf"
"2","-","-","-","inf"
"3","-","-","-","inf"
"4","-","-","-","inf"
"5","-","-","-","inf"
"6","-","-","-","inf"
"7","-","-","-","inf"
"8","-","-","-","inf"
"9","-","-","-","inf"
"10","-","-","-","inf"
