"seed","tempo_execução","iterações","valor","limite_superior"
"1","331.18","3769","-","inf"
"2","305.37","3721","-","inf"
"3","302.42","3924","-","inf"
"4","301.15","3705","-","inf"
"5","300.94","4383","-","inf"
"6","306.20","3767","-","inf"
"7","310.97","4283","-","inf"
"8","304.71","4179","-","inf"
"9","313.43","3808","-","inf"
"10","319.46","3900","-","inf"
