"seed","tempo_execução","iterações","valor","limite_superior"
"1","1.75","316","9900","-"
"2","1.79","313","9900","-"
"3","1.77","318","9900","-"
"4","1.75","315","9900","-"
"5","1.72","319","9900","-"
"6","1.73","318","9900","-"
"7","2.15","292","9900","-"
"8","1.74","308","9900","-"
"9","1.85","313","9900","-"
"10","1.82","302","9900","-"
