seed,tempo_execução,iterações,valor,limite_superior
1,6.23,21068,418249,-
2,1.62,8781,418249,-
3,8.61,44254,418249,-
4,3.04,12111,418249,-
5,2.25,17341,418249,-
6,7.94,44087,418249,-
7,9.64,43085,418249,-
8,1.64,12728,418249,-
9,1.44,10327,418249,-
10,6.12,13816,418249,-
