"seed","tempo_alvo","tempo_execução","iterações_LP","valor"
"1","300","0.70","219","550493"
"2","300","0.71","218","550493"
"3","300","0.55","212","550493"
"4","300","0.57","217","550493"
"5","300","0.56","221","550493"
"6","300","0.56","210","550493"
"7","300","0.59","216","550493"
"8","300","0.58","210","550493"
"9","300","0.58","211","550493"
"10","300","0.57","220","550493"
